,matricula,nombre,apellido,edad,genero,carrera,cuatrimestre,promedio,opinion
416,A00416,Ana,Torres,26,M,Ingeniería,8,6.87,Regular
417,A00417,Ana,García,18,M,Arquitectura,5,7.98,Regular
418,A00418,José,Ramírez,22,M,Arquitectura,8,8.64,Regular
419,A00419,José,García,28,F,Derecho,5,6.75,Regular
420,A00420,José,Torres,24,M,Economía,5,9.83,Excelente
421,A00421,Sofía,García,24,F,Derecho,6,8.88,Regular
422,A00422,José,Hernández,28,F,Economía,7,6.06,Regular
423,A00423,María,Hernández,27,M,Medicina,2,6.39,Regular
424,A00424,Carlos,García,25,M,Medicina,9,9.47,Excelente
425,A00425,Miguel,Ramírez,19,F,Psicología,8,9.92,Excelente
426,A00426,José,García,19,M,Ingeniería,4,6.8,Regular
427,A00427,Carlos,López,25,F,Arquitectura,3,7.44,Regular
428,A00428,Carlos,González,26,F,Medicina,2,7.75,Regular
429,A00429,Luis,López,20,F,Arquitectura,5,8.38,Regular
430,A00430,Sofía,López,21,M,Arquitectura,6,9.48,Excelente
431,A00431,Laura,Hernández,25,M,Arquitectura,5,7.2,Regular
432,A00432,Laura,Hernández,29,M,Psicología,4,6.57,Regular
433,A00433,Miguel,Pérez,25,F,Derecho,5,7.86,Regular
434,A00434,Ana,Torres,29,M,Arquitectura,2,8.53,Regular
435,A00435,Sofía,García,19,M,Economía,4,7.27,Regular
436,A00436,Miguel,Ramírez,26,M,Arquitectura,6,7.89,Regular
437,A00437,Sofía,Hernández,22,M,Derecho,4,9.33,Excelente
438,A00438,Ana,García,27,M,Derecho,8,7.34,Regular
439,A00439,Luis,Martínez,22,M,Ingeniería,6,7.69,Regular
440,A00440,Laura,García,23,F,Psicología,6,6.37,Regular
441,A00441,Laura,Pérez,24,F,Arquitectura,1,8.24,Regular
442,A00442,Sofía,Ramírez,18,M,Arquitectura,6,7.5,Regular
443,A00443,Luis,García,23,F,Economía,4,6.06,Regular
444,A00444,Ana,Torres,25,F,Ingeniería,5,6.72,Regular
445,A00445,Ana,Hernández,19,F,Medicina,4,8.72,Regular
446,A00446,Laura,González,22,F,Medicina,7,7.65,Regular
447,A00447,Luis,Ramírez,21,F,Medicina,2,7.71,Regular
448,A00448,Ana,González,20,F,Arquitectura,5,6.11,Regular
449,A00449,María,López,19,M,Derecho,1,8.61,Regular
450,A00450,José,Pérez,20,M,Psicología,7,7.41,Regular
451,A00451,Luis,Hernández,27,M,Ingeniería,6,8.15,Regular
452,A00452,José,Hernández,26,F,Psicología,2,8.31,Regular
453,A00453,Sofía,López,22,M,Arquitectura,7,7.61,Regular
454,A00454,Miguel,López,23,M,Medicina,3,8.69,Regular
455,A00455,Laura,Ramírez,25,F,Derecho,2,7.38,Regular
456,A00456,Luis,González,20,F,Psicología,2,6.48,Regular
457,A00457,Sofía,Ramírez,20,F,Psicología,3,8.78,Regular
458,A00458,Miguel,Martínez,29,F,Derecho,5,8.75,Regular
459,A00459,María,Martínez,23,M,Derecho,7,8.83,Regular
460,A00460,Miguel,García,20,F,Arquitectura,4,9.78,Excelente
461,A00461,Sofía,García,29,F,Ingeniería,5,6.32,Regular
462,A00462,María,López,22,F,Ingeniería,7,8.32,Regular
463,A00463,Ana,Ramírez,23,M,Economía,7,7.77,Regular
464,A00464,José,Martínez,20,F,Medicina,6,8.93,Regular
465,A00465,Ana,González,21,F,Economía,8,8.92,Regular
466,A00466,Carlos,Ramírez,29,M,Medicina,3,6.66,Regular
467,A00467,María,García,19,F,Ingeniería,2,7.88,Regular
468,A00468,María,Hernández,24,F,Psicología,1,9.78,Excelente
469,A00469,Laura,González,23,M,Arquitectura,6,6.78,Regular
470,A00470,José,Torres,20,M,Medicina,1,8.23,Regular
471,A00471,Miguel,Pérez,21,M,Arquitectura,2,8.32,Regular
472,A00472,Carlos,Ramírez,28,M,Psicología,4,6.47,Regular
473,A00473,Carlos,López,25,F,Medicina,2,6.73,Regular
474,A00474,Luis,López,20,M,Economía,2,7.25,Regular
475,A00475,Sofía,Torres,23,F,Derecho,6,8.69,Regular
476,A00476,Ana,López,28,F,Ingeniería,8,6.87,Regular
477,A00477,Miguel,Torres,18,F,Medicina,1,6.85,Regular
478,A00478,Luis,González,24,M,Arquitectura,4,8.64,Regular
479,A00479,Miguel,Torres,29,F,Economía,5,9.43,Excelente
480,A00480,Sofía,Martínez,29,F,Ingeniería,2,8.22,Regular
481,A00481,Laura,Martínez,24,F,Psicología,1,9.34,Excelente
482,A00482,José,Hernández,22,F,Medicina,8,7.17,Regular
483,A00483,Miguel,Ramírez,23,F,Psicología,6,8.49,Regular
484,A00484,María,López,24,M,Arquitectura,6,8.47,Regular
485,A00485,María,López,20,M,Arquitectura,6,7.02,Regular
486,A00486,Laura,González,21,M,Economía,7,7.62,Regular
487,A00487,Miguel,Torres,18,M,Ingeniería,6,9.16,Excelente
488,A00488,Sofía,González,29,F,Derecho,3,9.91,Excelente
489,A00489,José,García,27,M,Medicina,8,8.0,Regular
490,A00490,Luis,Hernández,27,F,Arquitectura,8,9.77,Excelente
491,A00491,Carlos,López,19,F,Psicología,2,6.81,Regular
492,A00492,Ana,Martínez,24,M,Ingeniería,2,7.86,Regular
493,A00493,Laura,García,25,F,Psicología,6,8.6,Regular
494,A00494,Laura,López,26,M,Psicología,2,8.39,Regular
495,A00495,Sofía,Torres,22,M,Psicología,6,8.36,Regular
496,A00496,Carlos,Torres,19,M,Psicología,2,7.53,Regular
497,A00497,Luis,González,23,F,Medicina,4,9.08,Excelente
498,A00498,Ana,Pérez,22,M,Ingeniería,3,9.4,Excelente
499,A00499,Laura,Torres,18,M,Medicina,1,6.44,Regular
500,A00500,Ana,Pérez,28,F,Psicología,7,6.91,Regular
501,A00501,Ana,Martínez,23,M,Arquitectura,6,9.56,Excelente
502,A00502,José,Torres,19,M,Medicina,2,8.78,Regular
503,A00503,José,Torres,25,F,Ingeniería,6,8.05,Regular
504,A00504,José,González,22,M,Psicología,2,7.67,Regular
505,A00505,María,Torres,24,F,Derecho,1,9.33,Excelente
506,A00506,José,Pérez,19,M,Ingeniería,9,7.7,Regular
507,A00507,Luis,Pérez,21,F,Ingeniería,4,6.4,Regular
508,A00508,Luis,Martínez,22,M,Medicina,2,9.09,Excelente
509,A00509,Sofía,García,18,M,Arquitectura,4,7.09,Regular
510,A00510,Carlos,Pérez,20,F,Arquitectura,1,9.68,Excelente
511,A00511,Miguel,García,21,M,Economía,4,7.0,Regular
512,A00512,Sofía,Ramírez,22,M,Ingeniería,8,7.61,Regular
513,A00513,María,Pérez,28,F,Derecho,1,8.11,Regular
514,A00514,Carlos,Torres,19,F,Medicina,2,6.93,Regular
515,A00515,Ana,Martínez,29,M,Psicología,2,6.07,Regular
516,A00516,María,Martínez,20,M,Economía,4,9.66,Excelente
517,A00517,Laura,Martínez,19,F,Derecho,4,7.82,Regular
518,A00518,Luis,Ramírez,27,M,Ingeniería,4,7.77,Regular
519,A00519,María,Hernández,22,F,Derecho,1,9.15,Excelente
520,A00520,José,Ramírez,24,F,Arquitectura,6,7.0,Regular
521,A00521,Ana,Pérez,25,F,Derecho,1,8.73,Regular
522,A00522,Ana,Martínez,19,M,Psicología,7,6.95,Regular
523,A00523,Ana,López,20,F,Economía,9,7.22,Regular
524,A00524,Miguel,López,28,F,Medicina,7,8.34,Regular
525,A00525,Miguel,Torres,26,F,Psicología,1,8.87,Regular
526,A00526,María,Hernández,25,M,Medicina,9,6.69,Regular
527,A00527,Carlos,López,28,M,Economía,4,6.92,Regular
528,A00528,Ana,García,26,F,Medicina,1,6.94,Regular
529,A00529,Laura,Torres,27,F,Derecho,7,6.45,Regular
530,A00530,Miguel,Hernández,25,F,Economía,8,7.42,Regular
531,A00531,Laura,García,19,M,Derecho,2,8.11,Regular
532,A00532,Sofía,García,25,M,Arquitectura,7,6.59,Regular
533,A00533,Laura,Torres,27,F,Derecho,1,8.18,Regular
534,A00534,José,Ramírez,29,F,Derecho,5,6.68,Regular
535,A00535,María,Hernández,27,F,Psicología,6,9.01,Excelente
536,A00536,María,Pérez,27,M,Derecho,2,9.28,Excelente
537,A00537,María,Pérez,29,M,Psicología,6,9.86,Excelente
538,A00538,Laura,García,25,F,Derecho,3,6.25,Regular
539,A00539,Ana,Pérez,26,M,Economía,6,7.75,Regular
540,A00540,Miguel,Pérez,24,F,Arquitectura,8,7.79,Regular
541,A00541,José,Torres,25,M,Medicina,1,8.69,Regular
542,A00542,Laura,Ramírez,21,F,Derecho,5,6.67,Regular
543,A00543,María,García,27,M,Derecho,2,6.08,Regular
544,A00544,Carlos,Hernández,19,F,Psicología,6,7.66,Regular
545,A00545,Miguel,González,29,M,Economía,9,6.46,Regular
546,A00546,Sofía,Pérez,19,F,Ingeniería,3,6.25,Regular
547,A00547,María,Pérez,21,F,Psicología,7,7.18,Regular
548,A00548,Luis,Martínez,27,M,Ingeniería,3,9.67,Excelente
549,A00549,Miguel,Ramírez,21,M,Arquitectura,6,8.27,Regular
550,A00550,José,González,24,M,Derecho,9,7.82,Regular
551,A00551,José,Hernández,27,M,Arquitectura,6,8.05,Regular
552,A00552,Luis,Hernández,26,M,Ingeniería,1,7.34,Regular
553,A00553,Ana,Ramírez,28,F,Arquitectura,2,8.62,Regular
554,A00554,José,Pérez,26,F,Medicina,1,6.4,Regular
555,A00555,José,García,23,F,Economía,9,7.01,Regular
556,A00556,Miguel,López,28,F,Arquitectura,4,9.04,Excelente
557,A00557,Carlos,López,26,M,Derecho,1,8.23,Regular
558,A00558,Sofía,Ramírez,29,M,Medicina,5,7.79,Regular
559,A00559,Miguel,Pérez,25,M,Medicina,3,7.39,Regular
560,A00560,Ana,Martínez,23,M,Arquitectura,1,8.94,Regular
561,A00561,Miguel,Torres,25,M,Derecho,7,7.15,Regular
562,A00562,Luis,López,19,M,Economía,5,6.18,Regular
563,A00563,José,Hernández,25,M,Medicina,8,9.32,Excelente
564,A00564,José,Pérez,21,M,Ingeniería,2,9.69,Excelente
565,A00565,Carlos,Pérez,28,F,Derecho,5,8.98,Regular
566,A00566,Laura,Martínez,22,F,Economía,5,6.81,Regular
567,A00567,José,Torres,20,M,Derecho,9,8.78,Regular
568,A00568,Miguel,Martínez,24,F,Ingeniería,4,9.0,Regular
569,A00569,Carlos,García,24,M,Economía,1,6.48,Regular
570,A00570,Miguel,García,26,F,Arquitectura,1,7.06,Regular
571,A00571,Laura,Torres,26,F,Arquitectura,3,7.25,Regular
572,A00572,Miguel,Ramírez,23,F,Ingeniería,5,8.37,Regular
573,A00573,Carlos,González,24,F,Derecho,7,8.41,Regular
574,A00574,Laura,López,23,M,Derecho,9,8.97,Regular
575,A00575,Ana,Hernández,22,F,Psicología,9,8.52,Regular
576,A00576,Ana,González,23,F,Arquitectura,7,7.45,Regular
577,A00577,Luis,Torres,18,M,Arquitectura,5,7.85,Regular
578,A00578,Ana,López,22,F,Economía,2,8.83,Regular
579,A00579,Carlos,García,22,F,Psicología,6,9.32,Excelente
580,A00580,Carlos,López,24,F,Medicina,5,8.8,Regular
581,A00581,Ana,López,19,F,Psicología,4,7.8,Regular
582,A00582,Carlos,Torres,22,M,Arquitectura,9,8.46,Regular
583,A00583,Miguel,Hernández,29,F,Psicología,6,7.42,Regular
584,A00584,Sofía,Hernández,29,F,Arquitectura,8,7.7,Regular
585,A00585,María,Torres,18,F,Arquitectura,9,9.5,Excelente
586,A00586,Luis,González,21,M,Ingeniería,8,7.69,Regular
587,A00587,Laura,Martínez,29,M,Ingeniería,4,9.3,Excelente
588,A00588,Luis,Pérez,22,F,Derecho,3,7.94,Regular
589,A00589,María,López,28,M,Psicología,4,7.74,Regular
590,A00590,Laura,Ramírez,18,F,Ingeniería,1,8.37,Regular
591,A00591,María,López,25,F,Medicina,9,7.44,Regular
592,A00592,Luis,Torres,23,F,Derecho,3,7.56,Regular
593,A00593,Ana,Ramírez,20,M,Medicina,2,8.29,Regular
594,A00594,Ana,Torres,25,F,Arquitectura,1,8.83,Regular
595,A00595,Ana,Martínez,19,M,Ingeniería,1,8.99,Regular
596,A00596,Sofía,Hernández,26,F,Ingeniería,5,9.72,Excelente
597,A00597,María,García,26,M,Derecho,2,7.92,Regular
598,A00598,Carlos,Pérez,27,F,Psicología,5,8.53,Regular
599,A00599,María,Martínez,24,F,Psicología,2,6.06,Regular
600,A00600,Sofía,Hernández,25,F,Ingeniería,9,7.64,Regular
601,A00601,María,Torres,25,F,Psicología,7,6.65,Regular
602,A00602,Luis,Pérez,26,F,Ingeniería,8,8.15,Regular
603,A00603,María,Pérez,29,F,Medicina,3,8.98,Regular
604,A00604,Ana,Hernández,19,M,Derecho,8,7.95,Regular
605,A00605,José,Hernández,20,F,Derecho,4,7.84,Regular
606,A00606,José,García,19,M,Economía,3,8.04,Regular
607,A00607,Sofía,Torres,27,F,Ingeniería,1,8.41,Regular
608,A00608,Ana,López,22,M,Ingeniería,5,6.56,Regular
609,A00609,María,García,24,M,Derecho,4,8.99,Regular
610,A00610,José,Pérez,27,M,Economía,4,9.06,Excelente
611,A00611,Carlos,Torres,25,M,Arquitectura,8,8.26,Regular
612,A00612,Carlos,Torres,19,M,Psicología,8,9.69,Excelente
613,A00613,Laura,García,26,F,Psicología,8,8.57,Regular
614,A00614,Miguel,Hernández,18,M,Arquitectura,2,6.36,Regular
615,A00615,Luis,Pérez,28,F,Psicología,8,6.12,Regular
616,A00616,Luis,Ramírez,18,F,Arquitectura,4,9.92,Excelente
617,A00617,Luis,Martínez,19,M,Economía,5,8.99,Regular
618,A00618,Sofía,López,26,F,Ingeniería,6,9.34,Excelente
619,A00619,María,Ramírez,22,F,Derecho,5,8.76,Regular
620,A00620,Carlos,Hernández,18,F,Medicina,9,9.26,Excelente
621,A00621,Laura,Pérez,25,M,Arquitectura,4,7.59,Regular
622,A00622,Sofía,Martínez,24,M,Psicología,3,8.46,Regular
623,A00623,Luis,González,29,M,Medicina,9,9.43,Excelente
624,A00624,Carlos,Torres,20,F,Psicología,4,6.11,Regular
625,A00625,Carlos,López,26,F,Economía,3,7.38,Regular
626,A00626,José,Hernández,20,M,Medicina,7,7.65,Regular
627,A00627,Carlos,Torres,21,M,Arquitectura,5,8.54,Regular
628,A00628,María,Ramírez,21,F,Arquitectura,5,6.45,Regular
629,A00629,Ana,Ramírez,20,M,Economía,2,6.57,Regular
630,A00630,Miguel,Torres,20,F,Derecho,1,6.72,Regular
631,A00631,María,Torres,28,M,Medicina,1,9.27,Excelente
632,A00632,María,López,24,M,Economía,3,9.56,Excelente
633,A00633,Carlos,Pérez,26,F,Psicología,7,7.17,Regular
634,A00634,Laura,García,22,M,Medicina,6,7.54,Regular
635,A00635,María,López,24,M,Derecho,7,6.36,Regular
636,A00636,Laura,Pérez,18,M,Economía,3,9.49,Excelente
637,A00637,Ana,Hernández,25,M,Economía,8,6.2,Regular
638,A00638,Miguel,Torres,29,M,Ingeniería,1,8.04,Regular
639,A00639,José,López,19,F,Derecho,7,8.57,Regular
640,A00640,Laura,González,27,M,Arquitectura,1,8.35,Regular
641,A00641,Miguel,Torres,25,F,Derecho,1,6.73,Regular
642,A00642,Carlos,López,19,M,Arquitectura,9,8.84,Regular
643,A00643,Ana,Ramírez,22,F,Arquitectura,3,7.94,Regular
644,A00644,María,Torres,24,M,Arquitectura,3,7.41,Regular
645,A00645,Ana,López,21,F,Arquitectura,8,9.26,Excelente
646,A00646,José,Torres,27,F,Economía,3,6.23,Regular
647,A00647,Ana,Martínez,19,M,Economía,1,8.95,Regular
648,A00648,Miguel,Ramírez,24,F,Economía,8,8.44,Regular
649,A00649,Sofía,Pérez,22,F,Medicina,9,9.65,Excelente
650,A00650,Carlos,Hernández,27,M,Economía,6,7.57,Regular
651,A00651,José,Hernández,29,M,Psicología,3,6.98,Regular
652,A00652,Luis,Ramírez,29,M,Psicología,4,7.4,Regular
653,A00653,Carlos,Ramírez,26,M,Ingeniería,3,9.53,Excelente
654,A00654,María,Martínez,27,F,Ingeniería,3,9.45,Excelente
655,A00655,Luis,López,23,F,Arquitectura,4,9.73,Excelente
656,A00656,Carlos,Pérez,20,M,Psicología,5,9.93,Excelente
657,A00657,María,González,22,M,Medicina,6,6.17,Regular
658,A00658,María,García,29,F,Ingeniería,3,9.33,Excelente
659,A00659,María,González,23,F,Psicología,2,8.71,Regular
660,A00660,Luis,Pérez,24,F,Ingeniería,7,7.84,Regular
661,A00661,Carlos,Hernández,28,F,Derecho,5,7.4,Regular
662,A00662,Laura,Torres,27,F,Economía,2,6.6,Regular
663,A00663,Carlos,Ramírez,19,M,Arquitectura,3,9.03,Excelente
664,A00664,Ana,González,27,F,Economía,2,8.4,Regular
665,A00665,Carlos,Pérez,23,F,Arquitectura,7,8.24,Regular
666,A00666,María,López,25,M,Medicina,5,7.48,Regular
667,A00667,Carlos,González,20,M,Psicología,3,7.17,Regular
668,A00668,Laura,Torres,26,F,Arquitectura,8,9.15,Excelente
669,A00669,Miguel,Martínez,29,F,Ingeniería,1,7.36,Regular
670,A00670,Laura,Hernández,22,M,Medicina,7,7.61,Regular
671,A00671,Ana,Ramírez,26,M,Arquitectura,9,7.09,Regular
672,A00672,Miguel,Torres,27,F,Derecho,5,8.45,Regular
673,A00673,Ana,García,18,M,Medicina,1,8.41,Regular
674,A00674,Luis,Ramírez,26,M,Psicología,8,8.49,Regular
675,A00675,Luis,Torres,25,M,Medicina,4,6.74,Regular
676,A00676,Miguel,Hernández,21,F,Medicina,9,6.15,Regular
677,A00677,María,Ramírez,27,F,Psicología,6,8.21,Regular
678,A00678,Miguel,López,18,F,Ingeniería,8,8.42,Regular
679,A00679,María,González,21,M,Economía,9,6.07,Regular
680,A00680,Luis,González,25,M,Derecho,7,7.27,Regular
681,A00681,Laura,Pérez,26,F,Arquitectura,9,9.85,Excelente
682,A00682,Ana,López,21,F,Arquitectura,2,6.61,Regular
683,A00683,Carlos,Pérez,29,M,Arquitectura,7,6.33,Regular
684,A00684,Sofía,García,21,F,Medicina,2,6.93,Regular
685,A00685,Luis,Pérez,24,M,Economía,2,8.54,Regular
686,A00686,Laura,López,22,F,Arquitectura,7,6.65,Regular
687,A00687,Luis,Torres,29,M,Ingeniería,4,6.48,Regular
688,A00688,José,García,20,F,Ingeniería,3,6.3,Regular
689,A00689,Carlos,Pérez,29,F,Economía,7,6.04,Regular
690,A00690,Miguel,García,22,M,Derecho,5,7.75,Regular
691,A00691,Miguel,Hernández,29,F,Psicología,9,9.34,Excelente
692,A00692,Sofía,López,24,F,Medicina,2,9.45,Excelente
693,A00693,Ana,Torres,19,F,Derecho,3,9.11,Excelente
694,A00694,José,Hernández,23,F,Derecho,9,6.56,Regular
695,A00695,Laura,Martínez,21,F,Psicología,6,6.34,Regular
696,A00696,Laura,Pérez,29,M,Derecho,8,7.81,Regular
697,A00697,Luis,Torres,28,F,Economía,6,9.31,Excelente
698,A00698,José,Pérez,29,F,Derecho,4,9.51,Excelente
699,A00699,Carlos,Ramírez,19,M,Arquitectura,1,8.59,Regular
700,A00700,Luis,Ramírez,18,F,Psicología,9,6.05,Regular
701,A00701,Luis,Ramírez,23,M,Derecho,7,7.12,Regular
702,A00702,Miguel,Hernández,26,F,Derecho,6,9.49,Excelente
703,A00703,José,García,26,F,Economía,9,7.93,Regular
704,A00704,Luis,Martínez,24,M,Ingeniería,1,7.5,Regular
705,A00705,Ana,Torres,22,M,Ingeniería,1,9.96,Excelente
706,A00706,José,Ramírez,27,F,Psicología,7,7.25,Regular
707,A00707,Carlos,González,23,M,Arquitectura,1,7.12,Regular
708,A00708,María,González,19,F,Arquitectura,3,9.33,Excelente
709,A00709,Laura,Torres,20,M,Arquitectura,6,6.06,Regular
710,A00710,Laura,Pérez,27,F,Ingeniería,5,8.4,Regular
711,A00711,Ana,González,25,F,Derecho,9,7.85,Regular
712,A00712,Sofía,García,22,M,Arquitectura,2,8.47,Regular
713,A00713,Luis,Torres,20,F,Economía,7,6.3,Regular
714,A00714,Carlos,Torres,19,F,Economía,4,6.16,Regular
715,A00715,Miguel,González,25,F,Medicina,6,6.32,Regular
716,A00716,María,Martínez,27,F,Ingeniería,6,6.15,Regular
717,A00717,Luis,Pérez,27,F,Derecho,6,6.6,Regular
718,A00718,José,Ramírez,19,M,Arquitectura,7,9.68,Excelente
719,A00719,José,González,25,F,Medicina,1,6.64,Regular
720,A00720,Miguel,Ramírez,19,F,Derecho,7,8.49,Regular
721,A00721,Luis,Ramírez,21,F,Ingeniería,6,8.14,Regular
722,A00722,Luis,Ramírez,26,M,Derecho,5,6.79,Regular
723,A00723,José,López,26,M,Psicología,1,6.98,Regular
724,A00724,Sofía,Torres,20,F,Arquitectura,4,8.86,Regular
725,A00725,Ana,Martínez,21,M,Arquitectura,9,7.83,Regular
726,A00726,José,Torres,22,M,Derecho,6,7.4,Regular
727,A00727,Luis,González,23,M,Economía,3,7.87,Regular
728,A00728,Sofía,Hernández,21,M,Economía,5,7.91,Regular
729,A00729,José,Pérez,24,F,Ingeniería,4,7.35,Regular
730,A00730,Miguel,García,26,F,Psicología,5,6.43,Regular
731,A00731,Laura,García,19,M,Economía,9,7.28,Regular
732,A00732,Sofía,Martínez,24,F,Medicina,7,6.4,Regular
733,A00733,María,Pérez,23,M,Ingeniería,3,9.37,Excelente
734,A00734,Luis,Torres,28,F,Psicología,8,6.75,Regular
735,A00735,Ana,Pérez,23,F,Arquitectura,6,8.9,Regular
736,A00736,Sofía,Torres,27,F,Medicina,9,6.84,Regular
737,A00737,María,García,23,F,Medicina,9,9.15,Excelente
738,A00738,José,López,18,M,Economía,9,6.48,Regular
739,A00739,Ana,González,27,M,Psicología,3,9.6,Excelente
740,A00740,Luis,López,25,F,Medicina,3,8.16,Regular
741,A00741,Carlos,González,23,M,Medicina,8,7.85,Regular
742,A00742,Carlos,López,23,M,Arquitectura,2,8.54,Regular
743,A00743,María,González,19,M,Ingeniería,2,9.33,Excelente
744,A00744,Luis,Torres,18,M,Psicología,5,9.49,Excelente
745,A00745,José,Torres,22,M,Medicina,9,6.21,Regular
746,A00746,Carlos,Ramírez,25,F,Economía,9,7.22,Regular
747,A00747,Miguel,Martínez,24,F,Ingeniería,5,7.04,Regular
748,A00748,Ana,Torres,26,M,Arquitectura,7,6.4,Regular
749,A00749,Laura,Torres,26,M,Derecho,8,9.95,Excelente
750,A00750,Ana,Torres,26,F,Medicina,3,9.81,Excelente
751,A00751,Luis,Torres,24,M,Arquitectura,3,9.75,Excelente
752,A00752,Luis,Martínez,18,F,Arquitectura,9,9.61,Excelente
753,A00753,Ana,Torres,25,M,Economía,7,9.1,Excelente
754,A00754,Carlos,Pérez,20,M,Economía,4,9.54,Excelente
755,A00755,María,Hernández,23,F,Medicina,4,6.28,Regular
756,A00756,Sofía,Martínez,20,M,Economía,7,7.78,Regular
757,A00757,Luis,López,29,M,Derecho,5,8.65,Regular
758,A00758,José,Ramírez,21,F,Arquitectura,9,6.52,Regular
759,A00759,María,González,20,F,Medicina,5,8.92,Regular
760,A00760,Miguel,Ramírez,26,M,Arquitectura,5,9.04,Excelente
761,A00761,Luis,Ramírez,25,M,Psicología,9,6.48,Regular
762,A00762,Luis,Ramírez,23,M,Arquitectura,5,8.94,Regular
763,A00763,María,Torres,18,M,Economía,7,6.18,Regular
764,A00764,María,Ramírez,18,F,Arquitectura,9,9.25,Excelente
765,A00765,Carlos,Pérez,18,M,Psicología,2,8.33,Regular
766,A00766,José,Hernández,20,F,Arquitectura,6,9.56,Excelente
767,A00767,Carlos,Torres,25,M,Derecho,7,7.82,Regular
768,A00768,José,Ramírez,21,M,Psicología,3,6.04,Regular
769,A00769,José,Ramírez,26,M,Ingeniería,2,6.66,Regular
770,A00770,José,Ramírez,18,F,Medicina,4,9.01,Excelente
771,A00771,Sofía,Hernández,23,F,Economía,9,8.38,Regular
772,A00772,Laura,García,27,F,Ingeniería,6,8.58,Regular
773,A00773,Sofía,Pérez,24,F,Arquitectura,9,8.56,Regular
774,A00774,Sofía,González,27,M,Arquitectura,3,9.19,Excelente
775,A00775,Carlos,Torres,19,F,Economía,6,8.76,Regular
776,A00776,Miguel,López,24,M,Ingeniería,6,8.11,Regular
777,A00777,Carlos,Pérez,23,M,Arquitectura,1,9.4,Excelente
778,A00778,Carlos,García,22,F,Economía,4,9.38,Excelente
779,A00779,José,López,26,F,Arquitectura,3,6.22,Regular
780,A00780,Luis,Martínez,22,F,Psicología,4,6.16,Regular
781,A00781,Carlos,Torres,21,F,Economía,1,8.16,Regular
782,A00782,Miguel,Hernández,28,M,Arquitectura,3,9.07,Excelente
783,A00783,Ana,González,23,M,Economía,6,7.82,Regular
784,A00784,Luis,Ramírez,22,F,Derecho,1,7.35,Regular
785,A00785,Carlos,López,19,F,Derecho,9,7.64,Regular
786,A00786,José,López,19,F,Psicología,3,7.61,Regular
787,A00787,Luis,Ramírez,25,M,Arquitectura,5,9.62,Excelente
788,A00788,Luis,Torres,18,F,Ingeniería,7,9.18,Excelente
789,A00789,María,López,23,F,Psicología,7,7.97,Regular
790,A00790,Sofía,González,23,M,Arquitectura,1,7.71,Regular
791,A00791,Miguel,Torres,24,M,Derecho,6,7.35,Regular
792,A00792,José,Ramírez,27,F,Medicina,1,7.09,Regular
793,A00793,Laura,González,20,M,Medicina,4,6.81,Regular
794,A00794,Laura,Ramírez,28,F,Arquitectura,1,7.95,Regular
795,A00795,María,Torres,18,M,Psicología,8,8.32,Regular
796,A00796,Sofía,Ramírez,20,M,Economía,1,6.08,Regular
797,A00797,María,Ramírez,25,M,Ingeniería,8,9.9,Excelente
798,A00798,Carlos,Martínez,29,F,Arquitectura,8,9.8,Excelente
799,A00799,María,García,27,F,Medicina,6,8.19,Regular
800,A00800,Carlos,García,19,M,Psicología,9,9.82,Excelente
801,A00801,José,Martínez,20,F,Medicina,5,6.86,Regular
802,A00802,Laura,Hernández,24,M,Medicina,2,9.59,Excelente
803,A00803,Ana,Torres,20,M,Arquitectura,8,9.05,Excelente
804,A00804,Laura,Ramírez,24,M,Arquitectura,5,7.46,Regular
805,A00805,Sofía,Hernández,18,M,Arquitectura,2,8.16,Regular
806,A00806,Sofía,López,26,M,Economía,7,6.38,Regular
807,A00807,María,López,25,F,Psicología,6,7.58,Regular
808,A00808,María,Martínez,19,M,Ingeniería,3,9.19,Excelente
809,A00809,María,Torres,28,F,Medicina,5,8.58,Regular
810,A00810,Luis,Ramírez,28,F,Derecho,7,8.71,Regular
811,A00811,Carlos,García,19,M,Arquitectura,9,9.82,Excelente
812,A00812,José,García,20,M,Ingeniería,3,7.79,Regular
813,A00813,María,Pérez,26,F,Psicología,9,9.46,Excelente
814,A00814,Ana,Hernández,18,M,Economía,6,8.36,Regular
815,A00815,Carlos,Hernández,21,F,Psicología,1,8.35,Regular
816,A00816,José,Martínez,25,F,Medicina,7,8.93,Regular
817,A00817,Laura,Ramírez,26,F,Ingeniería,6,6.86,Regular
818,A00818,Miguel,Martínez,23,M,Arquitectura,9,7.01,Regular
819,A00819,José,Ramírez,26,F,Medicina,2,9.94,Excelente
820,A00820,Laura,Hernández,26,F,Medicina,6,8.77,Regular
821,A00821,María,López,22,F,Economía,1,8.32,Regular
822,A00822,Ana,Ramírez,25,F,Medicina,4,9.87,Excelente
823,A00823,Sofía,Torres,26,F,Psicología,7,8.03,Regular
824,A00824,Sofía,López,20,M,Medicina,7,9.73,Excelente
825,A00825,Carlos,Torres,18,M,Psicología,4,6.75,Regular
826,A00826,Laura,Pérez,26,F,Psicología,2,8.77,Regular
827,A00827,Luis,López,21,M,Derecho,9,9.35,Excelente
828,A00828,Miguel,Hernández,20,F,Economía,7,8.2,Regular
829,A00829,Ana,Ramírez,19,F,Arquitectura,9,8.83,Regular
830,A00830,José,Ramírez,23,F,Arquitectura,9,7.99,Regular
